Data,Zamkniecie,Wolumen
2018-05-27,58233.23,222274413
2018-06-03,57890.11,342011531
2018-06-10,59015.21,213266539
2018-06-17,57693.09,215991444
2018-06-24,56610.74,180857027
2018-07-01,55954.44,204721731
2018-07-08,56497.02,134390605
2018-07-15,56594.71,156897423
2018-07-22,57303.81,174864497
2018-07-29,59650.51,196854286
2018-08-05,59605.67,177954329
2018-08-12,58783.91,213743007
2018-08-19,58130.92,178477832
2018-08-26,59900.47,247235320
2018-09-02,60201.08,257588523
2018-09-09,57580.05,328130356
2018-09-16,57632.29,315897117
2018-09-23,58237.83,464354258
2018-09-30,58974.76,267857363
2018-10-07,58415.84,192473984
2018-10-14,56516.02,186982349
2018-10-21,56642.84,199897953
2018-10-28,54027.32,154060818
2018-11-04,56321.58,156542538
2018-11-11,56924.39,237607697
2018-11-18,55442.1,274379989
2018-11-25,56788.04,443923083
2018-12-02,58203.39,331768614
2018-12-09,58180.45,291240872
2018-12-16,58780.55,324945762
2018-12-23,57331.35,392477406
2018-12-30,57690.5,76855427
2019-01-06,57947.51,89710058
2019-01-13,59322.53,217090683
2019-01-20,60289.51,191102175
2019-01-27,60661.36,189708934
2019-02-03,60660.31,178699977
2019-02-10,60280.51,189122497
2019-02-17,59814.26,207297572
2019-02-24,60274.56,188356367
2019-03-03,60076.61,202098898
2019-03-10,59436.39,169666571
2019-03-17,60706.57,240488929
2019-03-24,60097.1,182319082
2019-03-31,59668.03,144696411
2019-04-07,60755.88,155977288
2019-04-14,60969.26,140494456
2019-04-21,60910.11,130416994
2019-04-28,60990.17,110350046
2019-05-05,59744.3,99659968
2019-05-12,56913.26,192167904
2019-05-19,56561.79,180523615
2019-05-26,56753.79,157111890
2019-06-02,57909.95,201674733
2019-06-09,58852.53,198326656
2019-06-16,59092.01,185321908
2019-06-23,59433.13,185954243
2019-06-30,60187.43,202118349
2019-07-07,60628.11,158064680
2019-07-14,60378,194990402
2019-07-21,60902.04,194488133
2019-07-28,60146.67,140819125
2019-08-04,58360.55,159293720
2019-08-11,56316.19,178238897
2019-08-18,55227.6,129448188
2019-08-25,56047.39,156350503
2019-09-01,56739.53,184209436
2019-09-08,56593.23,148617098
2019-09-15,58144.64,200457883
2019-09-22,57485.19,304921266
2019-09-29,57666.04,180711016
2019-10-06,55980.47,172343185
2019-10-13,56895.37,151259832
2019-10-20,57024.61,157945726
2019-10-27,57329.09,147845790
2019-11-03,57783.02,127978806
2019-11-10,59191.71,205454681
2019-11-17,58751.67,160233624
2019-11-24,57863.03,166816887
2019-12-01,57502.14,192034549
2019-12-08,55994.68,193750493
2019-12-15,56729.11,170206827
2019-12-22,57202.89,229963063
2019-12-29,57877.81,53389281
2020-01-05,58603.27,87443913
2020-01-12,58732.09,141160769
2020-01-19,59039.84,202179269
2020-01-26,58607.31,172409925
2020-02-02,56681.27,198710716
2020-02-09,57816.25,187526737
2020-02-16,57895.19,153780166
2020-02-23,57424.47,144060205
2020-03-01,49276.54,345060707
2020-03-08,49326.23,273889256
2020-03-15,38629.63,410863062
2020-03-22,41153.2,541643796
2020-03-29,40886.9,308261602
2020-04-05,41532.37,396128290
2020-04-12,44499.23,389020588
2020-04-19,45353.23,320398952
2020-04-26,44884.25,279524837
2020-05-03,46117,270106330
2020-05-10,45228.14,240105401
2020-05-17,44348.22,226731006
2020-05-24,45915.72,247918088
2020-05-31,48127.64,524597767
2020-06-07,51494.63,427824827
2020-06-14,50169.11,434194196
2020-06-21,50670.08,502693161
2020-06-28,49725.89,401648223
2020-07-05,50959.44,320891810
2020-07-12,50933.53,253341655
2020-07-19,51046.47,318148415
2020-07-26,51672.44,411735831
2020-08-02,50468.16,418143259
2020-08-09,51732.44,281177000
2020-08-16,52631.64,223405149
2020-08-23,51920.09,247574281
2020-08-30,52237.26,200699415
2020-09-06,50522.18,247597116
2020-09-13,50737.57,250327383
2020-09-20,49825.58,252166974
2020-09-27,48294.74,311536564
2020-10-04,49043.26,223613883
2020-10-11,49191.09,237710950
2020-10-18,48210.12,268673314
2020-10-25,47846.25,266853755
2020-11-01,44097.98,270768196
2020-11-08,48962.48,258288697
2020-11-15,50636.31,302131083
2020-11-22,52353.64,263457030
2020-11-29,53302.48,238389686
2020-12-06,55304.72,296526481
2020-12-13,55501.03,376167463
2020-12-20,55607.24,325239522
2020-12-27,55843.46,151002743
2021-01-03,57025.84,202866916
2021-01-10,59843.23,339542580
2021-01-17,57872.92,296185868
2021-01-24,57304.69,308113695
2021-01-31,56978.68,386000269
2021-02-07,57453.85,393140249
